Suchbegriff aus hochgeladener Datei;Wirkstoff;Markenname des Medikaments;ATC-Code;Kapitelname;Satz, der das Wort enthält;Link zur Online-Referenz
Asiaten;Rosuvastatin;"Rosuvastax";"C10AA07";Vorsichtsmassnahmen;"Pharmakokinetische Studien haben bei Asiaten eine erhöhte Exposition im Vergleich zu Kaukasiern gezeigt (siehe «Dosierung/Anwendung» und «Pharmakokinetik»).";https://amiko.oddb.org/de/fi?gtin=66447&highlight=Asiaten&anchor=section7
Asiaten;Rosuvastatin;"Rosuvastax";"C10AA07";Kinetik;"Pharmakokinetische Studien, die in Asien durchgeführt wurden, zeigten bei Asiaten eine etwa 2-fache Erhöhung der mittleren AUC verglichen mit Kaukasiern, die in Asien oder Europa leben. Die Beteiligung von Umwelteinflüssen und genetischen Faktoren auf diese beobachteten Unterschiede wurde nicht untersucht. Eine pharmakokinetische Analyse zeigte keine klinisch relevanten Unterschiede zwischen Kaukasiern, Hispaniern und Schwarzen oder Personen afro-karibischen Ursprungs.";https://amiko.oddb.org/de/fi?gtin=66447&highlight=Asiaten&anchor=section14
Asiaten;Ustekinumab;"STELARA®";"L04AC05";Kinetik;"Aufgrund ihres geringeren Gewichtes wurde bei asiatischen Patienten höhere systemische Ustekinumab-Exposition beobachtet. Wurde jedoch der Unterschied des Gewichtes berücksichtigt, war im Allgemeinen die systemische Ustekinumab-Exposition zwischen Asiaten und Nicht-asiatischen Psoriasis- oder Morbus Crohn-Patienten vergleichbar.";https://amiko.oddb.org/de/fi?gtin=59066&highlight=Asiaten&anchor=section14
Asiaten;Enfuvirtid;"Fuzeon®";"J05AX07";Kinetik;"Die Analyse der Plasmakonzentrationsdaten von Patienten aus klinischen Studien hat gezeigt, dass sich die Enfuvirtide-Clearance bei Schwarzen und Kaukasiern nicht unterscheidet. In anderen PK-Studien fand sich ebenfalls kein Unterschied zwischen Asiaten und Kaukasiern, nachdem die Daten entsprechend dem Körpergewicht adjustiert worden sind.";https://amiko.oddb.org/de/fi?gtin=56282&highlight=Asiaten&anchor=section14
Asiaten;Daratumumab;"DARZALEX®";"L01XC24";Eigenschaften/Wirkungen;"Insgesamt wurden 569 Patienten randomisiert; 286 wurden dem DRd-Arm und 283 dem Rd-Arm zugeteilt. Die demografischen und krankheitsbezogenen Merkmale vor Studienbeginn waren ähnlich zwischen dem DARZALEX- und dem Kontrollarm. Das mediane Patientenalter betrug 65 Jahre (Spanne 34 bis 89 Jahre), 11% waren ≥75 Jahre, 59% waren männlich; 69% waren Kaukasier, 18% Asiaten und 3% Afroamerikaner. Die Patienten hatten im Median 1 frühere Therapielinie erhalten. 63% der Patienten hatten früher eine autologe Stammzelltransplantation (ASCT) erhalten. Die Mehrheit der Patienten (86%) hatte früher einen Proteasomen-Inhibitor (PI) erhalten, 55% der Patienten hatten früher einen immunmodulatorischen Wirkstoff (IMiD) erhalten, einschliesslich 18% Patienten mit früherer Lenalidomid-Therapie, und 44% der Patienten hatten früher sowohl einen PI als auch einen IMiD erhalten. Vor Studienbeginn waren 27% der Patienten refraktär gegenüber der letzten Therapielinie. 18% der Patienten waren nur gegenüber einem alleinigen PI refraktär und 21% waren refraktär gegenüber Bortezomib.";https://amiko.oddb.org/de/fi?gtin=66072&highlight=Asiaten&anchor=section13
Asiaten;Daratumumab;"DARZALEX®";"L01XC24";Eigenschaften/Wirkungen;"Insgesamt 498 Patienten wurden randomisiert; 251 wurden dem DVd-Arm und 247 dem Vd-Arm zugeteilt. Die demografischen und krankheitsbezogenen Merkmale vor Studienbeginn zwischen dem DARZALEX- und dem Kontrollarm waren ähnlich. Das mediane Patientenalter betrug 64 Jahre (Spanne 30 bis 88 Jahre), 12% waren ≥75 Jahre, 57% waren männlich; 87% waren Kaukasier, 5% Asiaten und 4% Afroamerikaner. Die Patienten hatten im Median 2 frühere Therapielinien erhalten, und 61% der Patienten hatten früher eine autologe Stammzelltransplantation (ASCT) erhalten. Neunundsechzig Prozent (69%) der Patienten hatten früher einen PI erhalten (66% davon hatten Bortezomib erhalten) und 76% der Patienten hatten einen IMiD erhalten (42% davon hatten Lenalidomid erhalten). Vor Studienbeginn waren 32% der Patienten refraktär gegenüber der letzten Therapielinie, und die Prozentsätze von Patienten, die gegenüber irgendeiner spezifischen früheren Therapie refraktär waren, waren zwischen den Behandlungsgruppen gut ausgewogen. Dreiunddreissig Prozent (33%) der Patienten waren gegenüber einem alleinigen IMiD refraktär und 28% waren refraktär gegenüber Lenalidomid.";https://amiko.oddb.org/de/fi?gtin=66072&highlight=Asiaten&anchor=section13
Asiaten;Isoniazid;"Isoniazid Labatec®";"J04AC01";Kinetik;"Asiaten sind meist schnelle Acetylierer, während ca. 50% der Europäer und der Afrikaner langsame Acetylierer sind.";https://amiko.oddb.org/de/fi?gtin=65161&highlight=Asiaten&anchor=section14
Asiaten;Rifampicin, Pyrazinamid und Isoniazid;"Rimstar®";"J04AM05";Kinetik;"Isoniazid wird in der Leber durch Acetylierung und Dehydrazinisierung inaktiviert. Die Acetylierungsrate ist genetisch determiniert. Asiaten sind meist schnelle Acetylierer, ca. 50% der Europäer und der Schwarzen sind langsame Acetylierer. Die entsprechenden Plasma-Eliminationshalbwertzeiten betragen 1,0–1,5 Stunden, resp. 3–5 Stunden. Etwa 20% der Metaboliten sind mikrobiologisch aktiv.";https://amiko.oddb.org/de/fi?gtin=56768&highlight=Asiaten&anchor=section14
Asiaten;Telbivudin;"Sebivo®";"J05AF11";Eigenschaften/Wirkungen;"HBeAg-positive Patienten: Das mittlere Alter der Patienten lag bei 32 Jahren, 74% waren männlich, 82% waren Asiaten, 12% waren Kaukasier und 6% hatten früher eine Behandlung mit alpha-Interferon erhalten. Bei Baseline hatten die Patienten einen mittleren Knodell Necroinflammatory Score von ≥7, die mittlere Serum HBV DNA, mittels Roche COBAS Amplicor® PCR Assay bestimmt, betrug 9.52 log10 Kopien/ml und die mittlere Serum-ALT lag bei ca. 153 IE/l. Prä- und Post-Leberbiopsieproben waren für 86% der Patienten auswertbar.";https://amiko.oddb.org/de/fi?gtin=57660&highlight=Asiaten&anchor=section13
Asiaten;Telbivudin;"Sebivo®";"J05AF11";Eigenschaften/Wirkungen;"HBeAg-negative Patienten: Das mittlere Alter der Patienten betrug 43 Jahre, 79% waren Männer, 65% waren Asiaten, 23% waren Kaukasier und 11% hatten früher eine Behandlung mit alpha-Interferon erhalten. Bei Baseline hatten die Patienten einen mittleren Knodell Necroinflammatory Score von ≥7, die mittlere Serum HBV DNA, mittels Roche COBAS Amplicor® PCR Assay gemessen, betrug 7.54 log10 Kopien/ml und der mittlere Serumspiegel von ALT lag bei ca. 140 IE/l. Prä- und Post-Leberbiopsieproben waren für 92% der Patienten auswertbar.";https://amiko.oddb.org/de/fi?gtin=57660&highlight=Asiaten&anchor=section13
Asiaten;Maraviroc;"Celsentri®";"J05AX09";Kinetik;"Es wurden keine relevanten Unterschiede zwischen Kaukasiern, Asiaten und Angehörigen der schwarzen Bevölkerung beobachtet. Bei anderen ethnischen Zugehörigkeiten wurde die Pharmakokinetik nicht untersucht.";https://amiko.oddb.org/de/fi?gtin=58197&highlight=Asiaten&anchor=section14
Asiaten;Pembrolizumab;"Keytruda®";"L01XC18";Eigenschaften/Wirkungen;"Die Baseline-Charakteristika waren bei den 305 Patienten in Keynote-024 wie folgt: Medianes Alter 65 Jahre, (54% waren 65 Jahre oder älter); 61% waren männlich, 82% von weisser Hautfarbe und 15% Asiaten; und 35% bzw. 65% hatten einen ECOG-Performance Status von 0, respektive 1. Krankheitscharakteristika waren plattenepithelial (18%) und nicht-plattenepithelial (82%); M1 (99%); und Hirnmetastasen (9%).";https://amiko.oddb.org/de/fi?gtin=66231&highlight=Asiaten&anchor=section13
Asiaten;Pembrolizumab;"Keytruda®";"L01XC18";Eigenschaften/Wirkungen;"Die Baseline-Charakteristika waren bei den 616 Patienten in Keynote-189 wie folgt: Medianes Alter 64 Jahre, (49% waren 65 Jahre oder älter); 59% waren männlich, 94% von weisser Hautfarbe und 3% Asiaten; 43% bzw. 56% hatten einen ECOG-Performance Status von 0, respektive 1; 31% PD-L1 negativ (TPS <1%); und 18% hatten bei Studienbeginn behandelte oder unbehandelte Hirnmetastasen. Insgesamt 67 Patienten im Placebo-plus-Chemotherapie-Arm wechselten zum Zeitpunkt der Krankheitsprogression die Behandlung zu Pembrolizumab-Monotherapie und 18 weitere Patienten erhielten einen Checkpoint-Inhibitor als anschliessende Therapie.";https://amiko.oddb.org/de/fi?gtin=66231&highlight=Asiaten&anchor=section13
Asiaten;Pembrolizumab;"Keytruda®";"L01XC18";Eigenschaften/Wirkungen;"Die Baseline-Charakteristika waren in dieser Population (TPS≥1%) wie folgt: Medianes Alter 63 Jahre, (42% waren 65 Jahre oder älter); 61% waren männlich, 72% von weisser Hautfarbe und 21% Asiaten; und 34% bzw. 66% hatten ECOG-Performance Status von 0, respektive 1. Krankheitscharakteristika waren plattenepithelial (21%) und nicht-plattenepithelial (70%); M1 (91%); Stadium IIIB (6,7%), Stadium IV (91,3%), Hirnmetastasen (15%) und die Häufigkeit von genomischen Aberrationen betrug EGFR (8%) oder ALK (1%). Vorherige Therapien beinhalteten platinbasierte Doublet-Chemotherapie (100%); die Patienten erhielten eine (69%) oder mindestens zwei (29%) vorherige Therapien.";https://amiko.oddb.org/de/fi?gtin=66231&highlight=Asiaten&anchor=section13
Asiaten;Pembrolizumab;"Keytruda®";"L01XC18";Eigenschaften/Wirkungen;"Bei den 542 randomisierten Patienten waren die Studienpopulationscharakteristika wie folgt: Medianes Alter 66 Jahre (Bereich: 26 bis 88), 58% waren 65 Jahre oder älter; 74% waren männlich; 72% von weisser Hautfarbe und 23% Asiaten; 57% hatten einen ECOG-Performance Status von 1 oder mehr; und 96% M1 und 4% M0. 87% der Patienten hatten viszerale Metastasen, einschliesslich 34% mit Lebermetastasen. 86% hatten einen Primärtumor im unteren Harntrakt und 14% hatten einen Primärtumor im oberen Harntrakt. 15% der Patienten hatten eine Krankheitsprogression nach vorangegangener platinbasierter, neoadjuvanter oder adjuvanter Chemotherapie als zuletzt angewendete Therapielinie. 21% hatten im metastatischen Setting 2 oder mehr vorangegangene systemische Regime. 76% der Patienten erhielten vorgängig Cisplatin, 23% Carboplatin und 1% wurden mit anderen platinbasierten Regimen behandelt. Die mediane Nachbeobachtungszeit für die 270 Patienten unter Behandlung mit Pembrolizumab lag bei 10,3 Monaten.";https://amiko.oddb.org/de/fi?gtin=66231&highlight=Asiaten&anchor=section13
Asiaten;Rosuvastatin;"Rosuvastatin Spirig HC®";"C10AA07";Dosierung/Anwendung;"Bei Asiaten wurden erhöhte Plasmaspiegel von Rosuvastatin festgestellt (siehe «Warnhinweise und Vorsichtsmassnahmen» und «Pharmakokinetik»). Die empfohlene Anfangsdosis für Asiaten ist 5 mg und die Dosierung von 40 mg ist kontraindiziert.";https://amiko.oddb.org/de/fi?gtin=66463&highlight=Asiaten&anchor=section5
Asiaten;Rosuvastatin;"Rosuvastatin Spirig HC®";"C10AA07";Vorsichtsmassnahmen;"Pharmakokinetische Studien haben bei Asiaten eine erhöhte Exposition im Vergleich zu Kaukasiern gezeigt (siehe «Dosierung/Anwendung» und «Pharmakokinetik»).";https://amiko.oddb.org/de/fi?gtin=66463&highlight=Asiaten&anchor=section7
Asiaten;Rosuvastatin;"Rosuvastatin Spirig HC®";"C10AA07";Kinetik;"Pharmakokinetische Studien, die in Asien durchgeführt wurden, zeigten bei Asiaten eine etwa 2-fache Erhöhung der mittleren AUC verglichen mit Kaukasiern, die in Asien oder Europa leben. Die Beteiligung von Umwelteinflüssen und genetischen Faktoren auf diese beobachteten Unterschiede wurde nicht untersucht. Eine pharmakokinetische Analyse zeigte keine klinisch relevanten Unterschiede zwischen Kaukasiern, Hispaniern und Schwarzen oder Personen afro-karibischen Ursprungs.";https://amiko.oddb.org/de/fi?gtin=66463&highlight=Asiaten&anchor=section14
Asiaten;Sitagliptin;"Januvia®";"A10BH01";Eigenschaften/Wirkungen;"An den Studien nahmen rund 4700 Patienten mit Diabetes Typ 2 teil, randomisiert in sieben doppelblinden, placebokontrollierten klinischen Phase III-Studien, die durchgeführt wurden, um die Wirkung von Sitagliptin auf die Blutzuckerkontrolle zu beurteilen. Komorbiditäten wie Dyslipidämie und Hypertonie waren bei den untersuchten Patienten häufig und mehr als 50% waren übergewichtig (BMI ≥30 kg/m2). An diesen Studien nahmen Weisse, Lateinamerikaner, Schwarze, Asiaten und Angehörige anderer Rassen und ethnischer Gruppen teil. Das Durchschnittsalter der Patienten lag bei etwa 55 Jahren.";https://amiko.oddb.org/de/fi?gtin=57863&highlight=Asiaten&anchor=section13
Asiaten;Sitagliptin;"Januvia®";"A10BH01";Kinetik;"Eine rassenspezifische Dosisanpassung ist nicht notwendig. Gemäss einer Analyse pharmakokinetischer Phase I-Daten und einer populationspharmakokinetischen Analyse von Phase I- und Phase II-Daten, unter Einschluss von Weissen, Lateinamerikanern, Schwarzen, Asiaten und Angehörigen anderer Rassen, hat die Rasse keine klinisch signifikante Auswirkung auf die Sitagliptin-Pharmakokinetik.";https://amiko.oddb.org/de/fi?gtin=57863&highlight=Asiaten&anchor=section14
Asiaten;Dapoxetin;"Priligy®";"G04BX14";Kinetik;"Analysen klinischer Studien mit Einzeldosen von 60 mg Dapoxetin ergaben keine Hinweise für statistisch signifikante Unterschiede zwischen Kaukasiern, Schwarzen, Hispanoamerikanern und Asiaten. Eine klinische Studie, in der die Pharmakokinetik von Dapoxetin bei japanischen und kaukasischen Patienten untersucht wurde, zeigte erhöhte Plasmaspiegel (AUC und Spitzenkonzentration) von Dapoxetin um 10 bis 20% bei den japanischen Patienten, möglicherweise aufgrund des niedrigeren Körpergewichts. Eine klinische Relevanz dieser geringen Unterschiede ist nicht zu erwarten.";https://amiko.oddb.org/de/fi?gtin=60470&highlight=Asiaten&anchor=section14
Asiaten;Rosuvastatin;"Crestor®";"C10AA07";Dosierung/Anwendung;"Bei Asiaten wurden erhöhte Plasmaspiegel von Rosuvastatin festgestellt (siehe «Warnhinweise und Vorsichtsmassnahmen» und «Pharmakokinetik»). Die empfohlene Anfangsdosis für Asiaten ist 5 mg und die Dosierung von 40 mg ist kontraindiziert.";https://amiko.oddb.org/de/fi?gtin=56139&highlight=Asiaten&anchor=section5
Asiaten;Rosuvastatin;"Crestor®";"C10AA07";Vorsichtsmassnahmen;"Pharmakokinetische Studien haben bei Asiaten eine erhöhte Exposition im Vergleich zu Kaukasiern gezeigt (siehe «Dosierung/Anwendung» und «Pharmakokinetik»).";https://amiko.oddb.org/de/fi?gtin=56139&highlight=Asiaten&anchor=section7
Asiaten;Rosuvastatin;"Crestor®";"C10AA07";Kinetik;"Pharmakokinetische Studien, die in Asien durchgeführt wurden, zeigten bei Asiaten eine etwa 2-fache Erhöhung der mittleren AUC verglichen mit Kaukasiern, die in Asien oder Europa leben. Die Beteiligung von Umwelteinflüssen und genetischen Faktoren auf diese beobachteten Unterschiede wurde nicht untersucht. Eine pharmakokinetische Analyse zeigte keine klinisch relevanten Unterschiede zwischen Kaukasiern, Hispaniern und Schwarzen oder Personen afro-karibischen Ursprungs.";https://amiko.oddb.org/de/fi?gtin=56139&highlight=Asiaten&anchor=section14
Asiaten;Metformin und Sitagliptin;"Janumet® XR";"A10BD07";Kinetik;"Gemäss einer Analyse pharmakokinetischer Phase I-Daten und einer populationspharmakokinetischen Analyse von Phase I- und Phase II-Daten, unter Einschluss von Weissen, Lateinamerikanern, Schwarzen, Asiaten und Angehörigen anderer Rassen, hat die Rasse keine klinisch signifikante Auswirkung auf die Pharmakokinetik von Sitagliptin.";https://amiko.oddb.org/de/fi?gtin=65052&highlight=Asiaten&anchor=section14
Asiaten;Belimumab;"Benlysta";"L04AA26";Eigenschaften/Wirkungen;"Studie 1 (HGS1006-C1056) wurde vorwiegend in Nordamerika und Westeuropa durchgeführt. Nach ihrer ethnischen Abstammung waren die Teilnehmer wie folgt verteilt: 70% Weisse/Kaukasier, 14% Schwarze/Afroamerikaner, 13% Ureinwohner Alaskas oder Amerikas und 3% Asiaten. Als Basisbehandlung wurden unter anderem Kortikosteroide (76%), Immunsuppressiva (56%) und Anti-Malaria-Mittel (63%) eingesetzt.";https://amiko.oddb.org/de/fi?gtin=61532&highlight=Asiaten&anchor=section13
Asiaten;Belimumab;"Benlysta";"L04AA26";Eigenschaften/Wirkungen;"Studie 2 (HGS1006-C1057) wurde in Südamerika, Osteuropa, Asien und Australien durchgeführt. Nach ihrer ethnischen Abstammung waren die Teilnehmer wie folgt verteilt: 38% Asiaten, 26% Weisse/Kaukasier, 32% Ureinwohner Alaskas oder Amerikas und 4% Schwarze/Afroamerikaner. Als Basisbehandlung wurden unter anderem Kortikosteroide (96%), Immunsuppressiva (42%) und Anti-Malaria-Mittel (67%) eingesetzt.";https://amiko.oddb.org/de/fi?gtin=61532&highlight=Asiaten&anchor=section13
Asiaten;Tipranavir;"Aptivus®";"J05AE09";Eigenschaften/Wirkungen;"In der primären Analyse der zusammengefassten RESIST-Studien wurden 1483 Patienten (Aptivus/Ritonavir n = 746, CPI/Ritonavir n = 737) berücksichtigt. Die Patientengruppen hatten ein medianes Alter von 43 Jahren (17-80) bzw. 42 Jahren (21-72) für Aptivus/Ritonavir bzw. CPI/Ritonavir. 84% bzw. 88% der Patienten waren männlich, 77% bzw. 74% Weisse, 12,6% bzw. 13,3% Schwarze und 0,7% bzw. 1,2% Asiaten für Aptivus/Ritonavir bzw. CPI/Ritonavir. In den Aptivus/Ritonavir- bzw. CPI/Ritonavir-Gruppen lag der mediane Ausgangswert der CD4-Zahlen bei 158 bzw. 166 Zellen/mm3 (interquartile ranges (IQRs): 66-285 bzw. 53-280 Zellen/mm3); der mediane Ausgangswert für die Plasma-HIV-1-RNA war 4,79 bzw. 4,80 log10 Kopien/ml (IQRs: 4,32-5,24 bzw. 4,25-5,27 log10 Kopien/ml). Ansprechen auf die Behandlung und Ergebnisse der randomisierten Behandlung in Woche 48 sind in folgender Tabelle gezeigt.";https://amiko.oddb.org/de/fi?gtin=57330&highlight=Asiaten&anchor=section13
Asiaten;Rosuvastatin;"Crestastatin®";"C10AA07";Dosierung/Anwendung;"Bei Asiaten wurden erhöhte Plasmaspiegel von Rosuvastatin festgestellt (siehe «Warnhinweise und Vorsichtsmassnahmen» und «Pharmakokinetik»). Die empfohlene Anfangsdosis für Asiaten ist 5 mg und die Dosierung von 40 mg ist kontraindiziert.";https://amiko.oddb.org/de/fi?gtin=66361&highlight=Asiaten&anchor=section5
Asiaten;Rosuvastatin;"Crestastatin®";"C10AA07";Vorsichtsmassnahmen;"Pharmakokinetische Studien haben bei Asiaten eine erhöhte Exposition im Vergleich zu Kaukasiern gezeigt (siehe «Dosierung/Anwendung» und «Pharmakokinetik»).";https://amiko.oddb.org/de/fi?gtin=66361&highlight=Asiaten&anchor=section7
Asiaten;Rosuvastatin;"Crestastatin®";"C10AA07";Kinetik;"Pharmakokinetische Studien, die in Asien durchgeführt wurden, zeigten bei Asiaten eine etwa 2-fache Erhöhung der mittleren AUC verglichen mit Kaukasiern, die in Asien oder Europa leben. Die Beteiligung von Umwelteinflüssen und genetischen Faktoren auf diese beobachteten Unterschiede wurde nicht untersucht. Eine pharmakokinetische Analyse zeigte keine klinisch relevanten Unterschiede zwischen Kaukasiern, Hispaniern und Schwarzen oder Personen afro-karibischen Ursprungs.";https://amiko.oddb.org/de/fi?gtin=66361&highlight=Asiaten&anchor=section14
Asiaten;Rosuvastatin;"Rosuvastatin Sandoz®";"C10AA07";Dosierung/Anwendung;"Bei Asiaten wurden erhöhte Plasmaspiegel von Rosuvastatin festgestellt (siehe «Warnhinweise und Vorsichtsmassnahmen» und «Pharmakokinetik»). Die empfohlene Anfangsdosis für Asiaten ist 5 mg und die Dosierung von 40 mg ist kontraindiziert.";https://amiko.oddb.org/de/fi?gtin=66414&highlight=Asiaten&anchor=section5
Asiaten;Rosuvastatin;"Rosuvastatin Sandoz®";"C10AA07";Vorsichtsmassnahmen;"Pharmakokinetische Studien haben bei Asiaten eine erhöhte Exposition im Vergleich zu Kaukasiern gezeigt (siehe «Dosierung/Anwendung» und «Pharmakokinetik»).";https://amiko.oddb.org/de/fi?gtin=66414&highlight=Asiaten&anchor=section7
Asiaten;Rosuvastatin;"Rosuvastatin Sandoz®";"C10AA07";Kinetik;"Pharmakokinetische Studien, die in Asien durchgeführt wurden, zeigten bei Asiaten eine etwa 2-fache Erhöhung der mittleren AUC verglichen mit Kaukasiern, die in Asien oder Europa leben. Die Beteiligung von Umwelteinflüssen und genetischen Faktoren auf diese beobachteten Unterschiede wurde nicht untersucht. Eine pharmakokinetische Analyse zeigte keine klinisch relevanten Unterschiede zwischen Kaukasiern, Hispaniern und Schwarzen oder Personen afro-karibischen Ursprungs.";https://amiko.oddb.org/de/fi?gtin=66414&highlight=Asiaten&anchor=section14
Asiaten;Metformin und Sitagliptin;"Velmetia®";"A10BD07";Kinetik;"Gemäss einer Analyse pharmakokinetischer Phase I-Daten und einer populationspharmakokinetischen Analyse von Phase I- und Phase II-Daten, unter Einschluss von Weissen, Lateinamerikanern, Schwarzen, Asiaten und Angehörigen anderer Rassen, hat die Rasse keine klinisch signifikante Auswirkung auf die Pharmakokinetik von Sitagliptin.";https://amiko.oddb.org/de/fi?gtin=61213&highlight=Asiaten&anchor=section14
Asiaten;Irinotecan;"Onivyde";"L01XX19";Eigenschaften/Wirkungen;"In der Intent-to-treat-Population (randomisiert) betrug das mediane Alter 63 Jahre (Altersbereich 31–87 Jahre), 57 % waren Männer, 61 % waren kaukasischer Abstammung und 33 % Asiaten. Zur Baseline betrug der durchschnittliche Albuminwert 3,6 g/dl und der Karnofsky-Index war 90-100 bei 55 % der Patienten. 68 % der Patienten wiesen Lebermetastasen und 31 % Lungenmetastasen auf.";https://amiko.oddb.org/de/fi?gtin=65994&highlight=Asiaten&anchor=section13
Asiaten;Irinotecan;"Onivyde";"L01XX19";Kinetik;"Die populationspharmakokinetische Analyse weist darauf hin, dass Asiaten eine um 56 % niedrigere durchschnittliche Steady-State-Konzentration von Irinotecan gesamt und eine um 8 % höhere durchschnittliche Steady-State-Konzentration von SN-38  im Vergleich mit kaukasischen Patienten aufweisen.";https://amiko.oddb.org/de/fi?gtin=65994&highlight=Asiaten&anchor=section14
Asiaten;Ramucirumab;"Cyramza® 10 mg/ml Konzentrat zur Herstellung einer Infusionslösung";"L01XC21";Eigenschaften/Wirkungen;"Die Mehrheit der in der Studie randomisierten Patienten (75%) erhielt vorher eine Kombination aus Platin plus Fluoropyrimidin ohne Anthrazykline. Die Übrigen (25%) erhielten zuvor Platin plus Fluropyrimidin plus Anthrazyklin. Zwei Drittel der Patienten hatten einen Progress während ihrer First-Line-Therapie (66,8%). Demographie und Charakteristika der Grunderkrankung waren grundsätzlich ausgeglichen zwischen den Armen: das mediane Alter war 61 Jahre; 71% der Patienten waren Männer; 61% waren Kaukasier, 35% Asiaten; der ECOG PS war 0 bei 39% der Patienten und 1 bei 61% der Patienten; 81% der Patienten hatten eine messbare Erkrankung und 79% hatten Magenkarzinom; 21% hatten GEJ-Adenokarzinom. Die Mehrheit der Patienten (76%) hatte einen Progress innerhalb von 6 Monaten nach Beginn der First-Line-Therapie. Für Patienten, die mit Cyramza plus Paclitaxel behandelt wurden, betrug die mediane Therapiedauer 19 Wochen, und für Patienten unter Plazebo plus Paclitaxel betrug die mediane Therapiedauer 12 Wochen.";https://amiko.oddb.org/de/fi?gtin=65206&highlight=Asiaten&anchor=section13
Asiaten;Ramucirumab;"Cyramza® 10 mg/ml Konzentrat zur Herstellung einer Infusionslösung";"L01XC21";Eigenschaften/Wirkungen;"Die Patienten, die in die Studie aufgenommen wurden, hatten zuvor eine Kombinationstherapie mit Platin und Fluoropyrimidin erhalten (81%), eine Fluoropyrimidin-haltige Behandlung ohne Platin (15%) oder eine Platin-haltige Behandlung ohne Fluoropyrimidin (4%). Die 2 Behandlungsgruppen waren vergleichbar in Bezug auf Demographie und Charakteristika der Grunderkrankung: Das mediane Alter betrug 60 Jahre, 70% der Patienten waren Männer, 77% Kaukasier und 16% Asiaten; der ECOG Performance Status betrug 0 bei 28% und 1 bei 72% der Patienten; 91% der Patienten hatten eine messbare Erkrankung, 75% der Patienten hatten Magenkarzinom, 25% Adenokarzinom des GEJ. Bei der Mehrheit der Patienten (85%) war es während oder nach der First-Line Therapie zu einem Progress der Erkrankung gekommen, bei den übrigen Patienten während oder nach einer adjuvanten Therapie. Es wurden keine Patienten mit einer Leberzirrhose Child-Pugh B oder C in die REGARD Studie eingeschlossen. Die Patienten erhielten im Median 4 Zyklen (Bereich 1-34) einer Cyramza-Behandlung und 3 Zyklen (Bereich 1-30) Plazebo.";https://amiko.oddb.org/de/fi?gtin=65206&highlight=Asiaten&anchor=section13
Asiaten/Orientale;Taxane;"JEVTANA®";"L01CD";Eigenschaften/Wirkungen;"Demographische Merkmale einschliesslich Alter, Rasse und ECOG-Leistungsstatus (0-2) waren gleichmässig auf die beiden Studienarme verteilt. In der JEVTANA-Gruppe betrug das Durchschnittsalter 68 Jahre, das Altersspektrum 46–92 Jahre und die Rassenaufteilung 83,9% Weisse, 6,9% Asiaten/Orientale, 5,3% Schwarze und 4% Übrige.";https://amiko.oddb.org/de/fi?gtin=61543&highlight=Asiaten/Orientale&anchor=section13
asiatica;7612291089775;"Ialuna®";"PSEUDO";Dosierung/Anwendung;"Jedes Ovulum zu 2 g enthält: Natriumhyaluronat, fettlösliche Extrakte aus Centella asiatica, fettlösliche Extrakte aus Camomilla vulgaris, DL-alpha-Tocopherylacetat, Silicagel, feste halbsynthetische Glyceride.";https://amiko.oddb.org/de/fi?gtin=7612291089775&highlight=asiatica&anchor=section2
Asiatisch;Emtricitabin, Tenofovir disoproxil, Elvitegravir und Cobicistat;"Stribild®";"J05AR09";Eigenschaften/Wirkungen;" Studie GS-US-236-0102Studie GS-US-236-0103 Stribildn = 348EFV/FTC/TDFn = 352Stribildn = 353ATV/r +FTC/TDFn = 355Demographische CharakteristikaAlter in Jahren, Mittelwert (Bereich)38,0(18-67)38,0(19-72)GeschlechtMännlich89%90%Weiblich11%10%Ethnische ZugehörigkeitWeiss63%74%Farbig/afro-amerikanisch28%17%Asiatisch2%5%Andere7%4%Krankheitsparameter bei StudienbeginnaMittelwert der Plasma HIV-1-RNA bei Studienbeginn (Bereich) log10 Kopien/ml4,8(2,6-6,5)4,8(1,7-6,6)Prozentsatz der Patienten mit Viruslast >100'000 Kopien/ml3340Mittelwert der CD4+-Zellzahl bei Studienbeginn (Bereich), Zellen/mm3386(3-1'348)370(5-1'132)Prozentsatz der Patienten mit CD4+-Zellzahlen ≤200 Zellen/mm31313";https://amiko.oddb.org/de/fi?gtin=62673&highlight=Asiatisch&anchor=section13
